n_estimators,max_features,sample_split,train_acc,val_acc,test_acc,oob_score
50,0.1,2,96.265,88.324,87.768,88.5064
50,0.1,4,94.559,89.164,88.564,89.1755
50,0.1,6,93.353,89.429,89.073,89.5543
50,0.1,8,92.717,89.518,89.272,89.723
50,0.1,10,92.294,89.673,89.162,89.8418
50,0.30000000000000004,2,96.265,88.744,87.79,88.3682
50,0.30000000000000004,4,95.12,89.186,88.52,89.1451
50,0.30000000000000004,6,94.053,89.695,88.675,89.3912
50,0.30000000000000004,8,93.464,89.496,88.852,89.6151
50,0.30000000000000004,10,93.055,89.96,88.963,89.7451
50,0.5000000000000001,2,96.262,88.589,87.436,88.1636
50,0.5000000000000001,4,95.247,89.253,88.299,88.9129
50,0.5000000000000001,6,94.332,89.651,88.343,89.1645
50,0.5000000000000001,8,93.668,89.805,88.741,89.4741
50,0.5000000000000001,10,93.254,89.805,88.808,89.6096
50,0.7000000000000001,2,96.267,88.434,87.591,88.3184
50,0.7000000000000001,4,95.394,89.054,88.144,88.8797
50,0.7000000000000001,6,94.432,89.584,88.631,89.2142
50,0.7000000000000001,8,93.823,89.894,88.719,89.3746
50,0.7000000000000001,10,93.375,89.673,88.83,89.5626
50,0.9000000000000001,2,96.256,88.302,87.525,88.0613
50,0.9000000000000001,4,95.38,89.054,88.056,88.7912
50,0.9000000000000001,6,94.501,89.518,88.255,89.0594
50,0.9000000000000001,8,93.801,89.628,88.476,89.4437
50,0.9000000000000001,10,93.397,89.783,88.808,89.4188
150,0.1,2,96.287,88.81,88.012,88.6419
150,0.1,4,94.589,89.23,88.631,89.3193
150,0.1,6,93.386,89.606,88.963,89.6787
150,0.1,8,92.8,89.695,89.184,89.875
150,0.1,10,92.455,89.496,89.228,89.8584
150,0.30000000000000004,2,96.287,88.766,87.459,88.5783
150,0.30000000000000004,4,95.195,89.54,88.343,89.0898
150,0.30000000000000004,6,94.058,89.717,88.741,89.499
150,0.30000000000000004,8,93.519,89.982,88.852,89.7451
150,0.30000000000000004,10,93.107,90.004,89.007,89.8363
150,0.5000000000000001,2,96.287,88.921,87.724,88.5589
150,0.5000000000000001,4,95.341,89.385,88.233,89.04
